"cancer_type" "species" "correlation"
"mesothelioma" "Alouatta_palliata" 0.782073359327341
"oesophagus" "Alouatta_palliata" 0.553186609622828
"other tumour types" "Alouatta_palliata" 0.635538231542761
"ovarian" "Alouatta_palliata" 0.582739044421183
"paediatric" "Alouatta_palliata" 0.539883192094461
"pancreas" "Alouatta_palliata" 0.601791776333125
"prostate" "Alouatta_palliata" 0.564192443135754
"rare other tumour types" "Alouatta_palliata" -0.136026652730854
"renal" "Alouatta_palliata" 0.55100958238455
"sarcoma" "Alouatta_palliata" 0.571921246202888
"skin" "Alouatta_palliata" 0.656721428535749
"small intestine" "Alouatta_palliata" 0.625033677237846
"soft tissue sarcoma" "Alouatta_palliata" 0.350612148576275
"testicular" "Alouatta_palliata" 0.594193902871492
"thyroid" "Alouatta_palliata" 0.581992246369179
"urothelial" "Alouatta_palliata" 0.631549863829787
"uterine" "Alouatta_palliata" 0.522106086853102
"all" "Ammotragus_lervia" 0.213404053715178
"bladder" "Ammotragus_lervia" 0.243900910178658
"breast" "Ammotragus_lervia" 0.184890757558242
"central nervous system" "Ammotragus_lervia" 0.198710879960352
"colon" "Ammotragus_lervia" 0.226290535994125
"colorectal" "Ammotragus_lervia" 0.228055364499464
"endometrial" "Ammotragus_lervia" 0.16327469966723
"gastric" "Ammotragus_lervia" 0.207982834279871
"glioma" "Ammotragus_lervia" 0.210970598228224
"head and neck" "Ammotragus_lervia" 0.229723140716851
"hepatocellular" "Ammotragus_lervia" 0.236018060470125
"intestine" "Ammotragus_lervia" 0.198050188955423
"kidney" "Ammotragus_lervia" 0.289790924067757
"leukaemia" "Ammotragus_lervia" 0.139237971537117
"liver" "Ammotragus_lervia" 0.276497253623231
"lung" "Ammotragus_lervia" 0.275073503386988
"lymphoma" "Ammotragus_lervia" 0.206319950712161
"melanoma" "Ammotragus_lervia" 0.253783933691443
"mesothelioma" "Ammotragus_lervia" 0.217722412349732
"oesophagus" "Ammotragus_lervia" 0.158883622903427
"other tumour types" "Ammotragus_lervia" 0.255768615807925
"ovarian" "Ammotragus_lervia" 0.215183525184711
"paediatric" "Ammotragus_lervia" 0.326469207742015
"pancreas" "Ammotragus_lervia" 0.18785592213154
"prostate" "Ammotragus_lervia" 0.177732309211839
"rare other tumour types" "Ammotragus_lervia" -0.247542872743003
"renal" "Ammotragus_lervia" 0.14133544562093
"sarcoma" "Ammotragus_lervia" 0.217443417073835
"skin" "Ammotragus_lervia" 0.153316298013754
"small intestine" "Ammotragus_lervia" 0.250225494850489
"soft tissue sarcoma" "Ammotragus_lervia" 0.234228920694591
"testicular" "Ammotragus_lervia" 0.067622854949967
"thyroid" "Ammotragus_lervia" 0.259540604001635
"urothelial" "Ammotragus_lervia" 0.192306522918943
